"","LASSO","Unconstrained"
"age","-0.025","-0.089"
"gender"," 0.038"," 0.123"
"nowsmk","-0.040","-0.089"
"oxygen"," 0.108"," 0.116"
"fev1pp","-0.039"," 0.051"
"indicated_statin"," 0.065"," 0.085"
"fev1","-0.083","-0.199"
"LAMA"," 0.075"," 0.093"
"LABA"," 0.082"," 0.113"
"ICS","."," 0.022"
"randomized_LABA","."," 0.027"
"randomized_ICS","-0.066","-0.100"
"sgrq"," 0.047"," 0.087"
"Rand_Date","-0.077","-0.100"
"ster1yr"," 0.031"," 0.059"
"packyears",".","-0.010"
"fvc","."," 0.006"
"antib1yr"," 0.062"," 0.109"
"BMI","-0.066","-0.103"
